,country,article_name,revision_id,article_quality,population
316,Uganda,Jjunju of Buganda,774684124,Start,44100000.0
317,Uganda,Kato Kintu,774684195,Stub,44100000.0
318,Uganda,Chwa I of Buganda,774684228,Start,44100000.0
319,Uganda,Kyabaggu of Buganda,774830237,Start,44100000.0
320,Uganda,Kiweewa of Buganda,774831268,Start,44100000.0
321,Uganda,Ismael Orot,775522497,Stub,44100000.0
322,Uganda,James Obita,775995921,Stub,44100000.0
323,Uganda,Janat Mukwaya,776107670,Start,44100000.0
324,Uganda,Besueri Kiwanuka Lusse Mulondo,776344991,Start,44100000.0
325,Uganda,Jeremiah Twa-Twa,776491782,Start,44100000.0
326,Uganda,Joyce Kakuramatsi Kikafunda,777643576,Stub,44100000.0
327,Uganda,Kania Obiga,778265355,Stub,44100000.0
328,Uganda,Apollo Kironde,778598971,Stub,44100000.0
329,Uganda,Kibirige Mayanja,778840186,Start,44100000.0
330,Uganda,Kintu Musoke,779007768,Start,44100000.0
331,Uganda,Jessica Alupo,779397351,Start,44100000.0
332,Uganda,Rebecca Amuge Otengo,779397437,Start,44100000.0
333,Uganda,Syda Bbumba,779397532,Start,44100000.0
334,Uganda,Alintuma Nsambu,781605803,Stub,44100000.0
335,Uganda,Esther Mbulakubuza Mbayo,781789704,Start,44100000.0
336,Uganda,Abdul Nadduli,782460126,Stub,44100000.0
337,Uganda,Moses Kizige,782979760,Start,44100000.0
338,Uganda,Maria Kiwanuka,783449036,Start,44100000.0
339,Uganda,Elijah Mushemeza,784734768,Start,44100000.0
340,Uganda,Michael Lulume Bayigga,784768216,Start,44100000.0
341,Uganda,Deo Rwabiita,785038536,Stub,44100000.0
342,Uganda,Daudi Ochieng,785108122,Stub,44100000.0
343,Uganda,Joy Kabatsi,785339072,Start,44100000.0
344,Uganda,Joshua Wanume Kibedi,785862055,C,44100000.0
345,Uganda,Kizza Besigye,786081128,C,44100000.0
346,Uganda,Apolo Kagwa,786226893,C,44100000.0
347,Uganda,Michael Kawalya Kagwa,787306486,Stub,44100000.0
348,Uganda,Abed Bwanika,787410566,Start,44100000.0
349,Uganda,Aggrey Awori,787858057,C,44100000.0
350,Uganda,Aggrey Bagiire,787858062,Stub,44100000.0
351,Uganda,Agnes Akiror,787870163,Start,44100000.0
352,Uganda,Namirembe Bitamazire,788019797,Start,44100000.0
353,Uganda,Amon Bazira,788899061,Stub,44100000.0
354,Uganda,Christopher Iga,788972378,Stub,44100000.0
355,Uganda,Nasser Sebaggala,788972461,Start,44100000.0
356,Uganda,Erias Lukwago,788972566,Start,44100000.0
357,Uganda,Template:KampalaMayors,788972642,Stub,44100000.0
